restaurant,tag,url
디오디아2.0,뷔페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12950069?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
비스트로누,이탈리아음식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36339304?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
베트남이랑,베트남음식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1890424195?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
금복주류 강남역점,요리주점,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1233347328?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
부다스벨리 파미에스테이션,태국음식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37797406?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
자매수산,생선회,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36310038?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
강남교자 본점,"칼국수,만두","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13073102?c=14125443.3318889,4509074.2594418,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
Merci,독일음식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1160394761?c=14125400.1065306,4509313.4303188,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
리에또,"스파게티,파스타전문","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37221619?c=14125400.1065306,4509313.4303188,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
임병주산동칼국수,"칼국수,만두","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1420055829?c=14125400.1065306,4509313.4303188,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
일상정원 센트럴시티점,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1047689987?c=14125400.1065306,4509313.4303188,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
한성양꼬치 교대2호점,양꼬치,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1225478882?c=14125990.9681238,4506866.7924826,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
7번방 강남역점,요리주점,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13015562?c=14123071.3250471,4509483.0632400,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
옛골토성 청계산점,돼지고기구이,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34907131?c=14123071.3250471,4509483.0632400,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
백소정 강남역신분당선점,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1880533718?c=14123071.3250471,4509483.0632400,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
와일드플라워,양식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1679378998?c=14125419.0531080,4509224.3983395,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
로리스 더 프라임 립,"스테이크,립","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/33562781?c=14125798.1961616,4508226.1694199,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
고메램 강남점,양갈비,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1299706278?c=14125798.1961616,4508226.1694199,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
보글이 생태탕왕코다리 서초구청점,"해물,생선요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1932467805?c=14111122.1127942,4506984.8018700,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
꿉당,"육류,고기요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1082960799?c=14111122.1127942,4506984.8018700,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
조양관한정식,한정식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11702941?c=14111122.1127942,4506984.8018700,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
MAILLET,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35581494?c=14111122.1127942,4506984.8018700,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
Da Pitta,이탈리아음식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/31462539?c=14109847.5380205,4511365.1219632,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
도우룸,"스파게티,파스타전문","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37351441?c=14109847.5380205,4511365.1219632,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
프릳츠 양재점,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/460950912?c=14109847.5380205,4511365.1219632,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
모던샤브하우스 센트럴시티점,샤브샤브,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1658822371?c=14109847.5380205,4511365.1219632,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
혜장국,한식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1246108076?c=14106988.2857675,4508167.5504203,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
나에코,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1115767815?c=14108133.5295568,4509470.6027252,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
알아차림 서래마을,한식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1296135380?c=14108133.5295568,4509470.6027252,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
JW 메리어트 호텔 서울 플레이버즈,뷔페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1736859138?c=14108133.5295568,4509470.6027252,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
미니말레 커피뢰스터 교대점,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1248761544?c=14107140.0476293,4508192.6227000,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
