restaurant,tag,url,review,len,rating,count
청담만옥,한식,1311375480,"['4.47', '173']",2,4.47,173.0
피아마,양식,1806713227,['30'],1,,30.0
안동한우 청담본가,소고기구이,1266237311,"['4.36', '383']",2,4.36,383.0
라무진 청담점,양갈비,36771756,"['4.41', '223']",2,4.41,223.0
스타벅스 압구정로데오역점,카페,33647196,"['4.49', '999']",2,4.49,999.0
까사디도노,"카페,디저트",1191336330,"['4.87', '91']",2,4.87,91.0
알리고떼 청담점,이탈리아음식,11663076,"['4.49', '626']",2,4.49,626.0
더제이케이키친박스 청담점,이탈리아음식,36998145,"['4.32', '256']",2,4.32,256.0
을지깐깐 현대백화점 무역센터점,베트남음식,1275627500,['292'],1,,292.0
샤이바나 코엑스점,브런치,36154610,['999'],1,,999.0
도명골 청국장,"찌개,전골",1398214763,"['4.61', '903']",2,4.61,903.0
트라가 삼성점,스페인음식,1326727196,['307'],1,,307.0
딤딤섬 파르나스몰점,중식당,1612703330,"['4.32', '999']",2,4.32,999.0
허머스키친,아시아음식,38500970,"['4.46', '999']",2,4.46,999.0
글로브 비스트로,양식,334278981,['999'],1,,999.0
이츠로바,일식당,1383540166,['219'],1,,219.0
일상정원 코엑스점,일식당,1169891232,"['4.33', '999']",2,4.33,999.0
428 레스토랑,양식,1925706458,['803'],1,,803.0
노티드 삼성,카페,1182668560,"['4.5', '999']",2,4.5,999.0
아그라 코엑스점,인도음식,36166523,"['4.36', '999']",2,4.36,999.0
이대성의진면목 본점,샤브샤브,1478316552,"['4.59', '999']",2,4.59,999.0
바이킹스워프 코엑스점,바닷가재요리,1508030844,"['4.39', '999']",2,4.39,999.0
멜팅샵 치즈룸 파르나스몰,이탈리아음식,1036294902,"['4.92', '999']",2,4.92,999.0
붓처스컷 삼성점,"스테이크,립",21705500,['999'],1,,999.0
% ARABICA 스타필드 코엑스몰점,"카페,디저트",1269340158,['999'],1,,999.0
길목,돼지고기구이,36952749,['999'],1,,999.0
인터컨티넨탈 서울 코엑스 브래서리,뷔페,11714727,"['4.62', '999']",2,4.62,999.0
케르반 코엑스몰점,아시아음식,36166565,"['4.27', '999']",2,4.27,999.0
고메램 삼성점,양갈비,687685028,"['4.47', '999']",2,4.47,999.0
폴리스 파르나스몰점,피자,539142144,"['4.37', '999']",2,4.37,999.0
에그슬럿 코엑스점,샌드위치,1608633026,"['4.16', '999']",2,4.16,999.0
이남장 삼성점,"곰탕,설렁탕",33877438,"['4.33', '999']",2,4.33,999.0
훠궈야 파르나스몰점,중식당,1543092983,"['4.32', '999']",2,4.32,999.0
아웃백스테이크하우스 코엑스점,패밀리레스토랑,11592470,"['4.49', '999']",2,4.49,999.0
클로리스 코엑스몰점,홍차전문점,36453737,"['4.49', '999']",2,4.49,999.0
그랜드 인터컨티넨탈 서울 파르나스 로비 라운지 & 바,카페,11861437,"['4.48', '999']",2,4.48,999.0
청담나인,이탈리아음식,1465309007,['202'],1,,202.0
쿠시일오이,이자카야,37268997,"['4.49', '607']",2,4.49,607.0
바토스 파르나스몰점,"멕시코,남미음식",1693841602,"['4.36', '999']",2,4.36,999.0
피에프창 코엑스몰점,아시아음식,36166585,"['4.36', '999']",2,4.36,999.0
카츠8 파르나스몰점,돈가스,1558099783,"['4', '999']",2,4,999.0
니뽕내뽕 코엑스점,중식당,37463474,"['4.25', '999']",2,4.25,999.0
와인웍스 현대백화점 무역센터점,와인,1262448840,"['4.42', '828']",2,4.42,828.0
